driver,rail,segment,count,x1,y1,x2,y2
1,1,0,30,311,342,223,296
1,1,30,30,224,294,296,246
1,2,0,30,311,340,295,243
1,2,30,30,295,247,224,226
1,3,0,30,315,343,367,268
1,3,30,30,366,268,298,249
1,4,0,30,311,342,392,376
1,4,30,30,393,375,366,268
1,5,0,30,313,341,311,431
1,5,30,30,311,428,392,375
1,6,0,30,310,343,227,368
1,6,30,30,223,369,311,432
1,7,0,30,366,270,437,291
1,7,30,30,436,291,392,372
1,8,0,30,313,427,225,445
2,1,0,30,362,178,296,246
2,1,30,30,296,247,269,162
2,2,0,30,364,178,269,166
2,2,30,30,269,163,224,225
2,3,0,30,367,179,312,100
2,3,30,30,316,101,268,164
2,4,0,30,363,179,421,110
2,4,30,30,420,110,311,101
2,5,0,30,361,178,446,200
2,5,30,30,446,200,420,109
2,6,0,30,365,178,366,269
2,6,30,30,366,270,446,201
2,7,0,30,313,101,357,40
2,7,30,30,356,39,420,109
2,8,0,30,447,200,437,290
3,1,0,30,224,76,270,164
3,1,30,30,271,164,176,163
3,2,0,30,222,75,178,162
3,2,30,30,179,160,222,224
3,3,0,30,220,74,132,102
3,3,30,30,134,100,178,164
3,4,0,30,226,78,178,5
3,4,30,30,177,11,136,102
3,5,0,30,223,75,267,7
3,5,30,30,266,7,180,6
3,6,0,30,223,74,311,100
3,6,30,30,311,102,269,8
3,7,0,30,134,101,91,41
3,7,30,30,91,40,178,6
3,8,0,30,267,6,355,39
4,1,0,30,85,177,176,162
4,1,30,30,176,164,154,247
4,2,0,30,83,177,152,247
4,2,30,30,153,248,223,225
4,3,0,30,83,175,81,272
4,3,30,30,81,272,152,248
4,4,0,30,87,175,3,199
4,4,30,30,1,202,82,270
4,5,0,30,85,179,29,111
4,5,30,30,31,113,1,195
4,6,0,30,82,176,133,101
4,6,30,30,138,100,32,110
4,7,0,30,81,272,11,296
4,7,30,30,10,294,0,197
4,8,0,30,32,111,90,42
5,1,0,30,135,346,152,250
5,1,30,30,151,248,225,295
5,2,0,30,135,343,224,296
5,2,30,30,224,296,225,225
5,3,0,30,135,343,222,369
5,3,30,30,223,372,225,295
5,4,0,30,136,343,129,428
5,4,30,30,128,428,224,369
5,5,0,30,132,343,59,375
5,5,30,30,57,373,130,428
5,6,0,30,137,343,81,271
5,6,30,30,81,271,59,372
5,7,0,30,224,372,223,448
5,7,30,30,224,448,129,428
5,8,0,30,57,371,11,297
